BRAND_ID,TERRITORY_ID,PRIMARY_CATEGORY,DOMAIN_AUTHORITY,TOTAL_PRODUCTS,TOTAL_PRESS_RELEASES,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,IS_AN_AFFILIATE
36002,1,20,17.0,20,0,1,True,True,True,True,True
36013,4,36,23.0,100,1,0,True,False,False,True,False
36100,1,69,11.0,124,0,0,False,False,False,False,False
36135,1,10,24.0,22,1,1,True,True,True,True,False
36183,1,126,24.0,349,18,2,True,True,False,True,False
36186,1,65,31.0,75,5,0,True,True,False,True,False
36244,4,356,23.0,261,11,1,True,False,True,True,False
36254,1,223,61.0,232,20,0,False,False,False,False,False
36358,1,201,47.0,222,5,0,False,False,False,False,False
36369,1,264,53.0,216,0,0,False,False,False,False,False
36473,1,177,31.0,253,7,0,False,False,False,False,False
36481,1,239,50.0,125,0,0,False,False,False,True,False
36494,3,62,28.0,62,21,0,False,False,False,False,False
36547,1,18,20.0,33,1,1,True,False,False,True,False
36551,4,274,39.0,178,16,0,True,False,False,True,False
36554,1,43,13.0,56,0,0,True,False,False,True,False
36565,1,161,50.0,486,4,0,False,False,False,False,False
36577,1,61,10.0,252,0,0,False,False,False,False,False
36578,1,28,10.0,76,0,0,False,False,False,False,False
36593,1,32,14.0,62,3,0,True,False,False,True,False
36604,1,30,33.0,3225,1,1,True,False,True,True,True
36637,1,41,10.0,31,2,0,False,False,False,False,False
36649,1,234,12.0,248,2,4,False,False,False,True,True
36673,1,37,16.0,97,2,0,True,True,True,True,False
36698,1,23,10.0,23,0,0,False,False,True,True,True
36734,1,261,30.0,150,0,0,True,False,True,True,False
36736,1,218,16.0,281,0,0,False,False,False,False,False
36753,1,13,9.0,11,0,0,True,False,True,True,False
36781,1,278,19.0,475,21,0,False,False,False,False,False
36794,1,77,22.0,70,5,1,False,False,False,False,True
36834,1,153,38.0,148,5,1,True,False,False,True,False
36840,1,5,5.0,8,0,0,False,False,False,False,False
36856,1,331,24.0,454,1,0,False,False,False,True,False
36890,1,152,62.0,142,2,0,False,False,False,False,False
36891,1,90,17.0,690,1,1,False,False,False,True,True
36908,1,276,30.0,371,23,1,True,False,True,True,False
36976,1,105,10.0,59,2,0,False,False,False,False,False
37039,1,215,22.0,158,4,0,False,False,False,False,False
37084,1,39,16.0,40,0,0,False,False,False,False,False
37096,1,45,22.0,54,0,0,False,False,False,False,False
37123,1,52,15.0,56,0,0,False,False,False,True,True
37173,1,867,13.0,1013,3,1,True,True,True,True,True
37216,1,169,15.0,275,10,1,False,False,False,True,False
37273,1,377,55.0,377,0,0,False,False,False,False,False
37281,1,137,27.0,140,0,0,False,False,False,False,False
37359,1,382,30.0,405,9,0,False,False,False,False,False
37376,2,5,31.0,16,0,0,False,False,False,False,False
37392,1,89,11.0,49,5,0,False,False,False,False,True
37422,1,295,20.0,361,14,1,True,True,True,True,True
37435,1,121,58.0,127,1,1,False,False,False,False,False
37487,1,87,24.0,50,2,0,False,False,False,False,False
37534,1,246,21.0,137,0,0,False,False,False,False,False
37535,1,161,21.0,101,0,0,False,False,False,False,False
37549,1,286,18.0,369,22,2,True,False,False,True,False
37625,1,102,15.0,52,1,0,True,True,True,True,True
37641,4,50,25.0,50,3,2,True,False,True,True,False
37699,1,42,45.0,71,0,0,False,False,False,False,False
37713,1,99,16.0,81,3,0,True,False,True,True,False
37760,1,455,25.0,433,28,0,True,False,True,True,False
37775,5,226,47.0,139,9,0,False,False,False,False,False
37794,5,262,34.0,157,13,0,False,False,False,False,False
37803,5,189,30.0,227,10,0,False,False,False,False,False
37815,1,17,11.0,18,0,0,False,False,False,False,False
37859,5,169,27.0,93,10,0,False,False,False,False,False
37860,4,40,11.0,51,0,0,False,False,False,False,False
37861,5,197,21.0,166,10,0,False,False,False,False,False
37867,1,55,26.0,63,9,0,False,False,False,False,False
37880,5,60,25.0,65,6,0,False,False,False,False,False
37886,5,82,30.0,116,8,0,False,False,False,False,False
37888,4,49,18.0,50,2,1,True,False,True,True,True
37894,1,18,13.0,10,1,0,True,True,True,True,False
37956,1,16,30.0,19,0,0,False,False,False,False,False
37957,1,270,47.0,293,9,0,False,False,False,False,False
38006,1,1023,37.0,960,3,1,False,False,False,False,False
38040,1,34,19.0,34,6,1,True,True,True,True,True
38061,1,105,16.0,62,4,0,True,True,True,True,False
38115,1,212,9.0,245,0,0,False,False,True,True,False
38126,1,354,28.0,354,29,1,True,True,True,True,False
38132,1,332,27.0,619,39,1,True,False,True,True,True
38141,1,6,13.0,12,1,0,True,False,False,True,True
38149,1,1193,16.0,813,5,0,False,False,False,True,False
38150,1,162,24.0,163,0,0,False,False,True,True,False
38156,1,177,22.0,96,0,0,False,False,False,False,False
38157,1,1,22.0,1,0,0,False,False,False,False,False
